week,date,ref
49,2016-07-24,"Heb 11 5 6"
48,2016-07-17,"ICo 9 24 25"
47,2016-07-10,"ICo 4 1 2"
46,2016-07-03,"ICo 3 16 17"
44,2016-06-19,"ICo 2 9 10"
43,2016-06-12,"ICo 1 17 18"
42,2016-06-05,"Rm 14 11 12"
41,2016-05-29,"Rm 12 16 18"
40,2016-05-22,"Rm 12 9 10"
39,2016-05-15,"Rm 12 1 2"
38,2016-05-08,"Rm 10 9 10","Rm 10 13"
37,2016-05-01,"Rm 8 1","Rm 8 28"
36,2016-04-24,"Rm 5 12","Rm 6 1 2"
35,2016-04-17,"Rm 5 6 8"
34,2016-04-10,"Rm 5 3 5"
33,2016-04-03,"Rm 5 1 2"
32,2016-03-27,"Rm 1 16 17"
31,2016-03-20,"Ep 6 16 17"
30,2016-03-13,"Ep 6 13 15"
29,2016-03-06,"Ep 6 10 12"
28,2016-02-28,"Ep 5 1 2"
27,2016-02-21,"Ph 3 7 8"
26,2016-02-14,"Ps 84 4 5","Ps 84 12"
24,2016-01-31,"Ps 84 2","Ps 84 10"
23,2016-01-24,"IP 2 1 3"
22,2016-01-24,"IJn 5 1 3"
21,2016-01-17,"Ph 4 11","ITm 6 7 8"
20,2016-01-10,"Ep 5 17","Jm 1 5 6"
19,2016-01-03,"Jn 3 30","IJn 2 3 4"
18,2015-12-27,"Col 3 1 2"
17,2015-12-20,"Tt 2 11 13"
16,2015-12-13,"Jn 1 14","Jn 14 1 2"
15,2015-12-06,"Jn 3 17","IICo 8 9"
14,2015-11-29,"Jn 14 13 14","Jm 1 5"
13,2015-11-22,"Mk 11 24","IJn 5 14 15"
12,2015-11-15,"Rm 10 17","Mt 7 7 8"
11,2015-11-08,"Heb 11 1","Heb 11 6"
10,2015-11-01,"Mt 6 21","Mt 6 33 34"
9,2015-10-25,"Jn 3 18","Jn 3 36"
8,2015-10-18,"Rm 10 13","Rm 5 12","Rm 3 23"
7,2015-10-11,"Rm 10 9","Rm 5 8","Rm 6 23"
6,2015-10-04,"Pr 11 30","Ps 126 5 6"
5,2015-09-27,"ICo 6 19 20"
4,2015-09-20,"Rm 6 12 13"
3,2015-09-13,"IICo 10 3 5"
2,2015-09-06,"Ps 51 10 12","ITh 4 7"
1,2015-08-30,"Rm 12 1 2","Mk 8 35"